countrycode,countryname,year,gini,inflation_rate,tax_rate,gov_expenditure,exports_gdp,imports_gdp,gdp_growth,nominal_gdppc,real_gdppc,unempl_rate,school_years,proportional_rep,right_wing_exec,chinn_ito,quinn_current,quinn_capital,stock_market_cap,emp_protection,uk_legal_origin
AUS,Australia,1971,28.299997,6.1381073,57.646961,13.902856,12.639635,12.914572,4.0005794,3495.2283,26975.666,-13.353987,10.2482,1,1,.416441917419434,56.25,50,-58.41600000000108,1.1666666,1
AUS,Australia,1972,28.599998,6.0240965,58.325081,14.409177,12.804166,11.953399,3.9104528,3949.4617,27520,-12.206987,10.387401,1,0,.416441917419434,56.25,37.5,-47.50640000000203,1.1666666,1
AUS,Australia,1973,28.899998,9.090909,59.003201,14.608005,14.130304,11.001164,2.6195977,4770.8101,27812.445,-11.059988,10.5266,1,1,.416441917419434,56.25,37.5,-36.59680000000299,1.1666666,1
AUS,Australia,1974,29.199997,15.416667,61.356403,14.445935,13.128903,13.193513,4.1071129,6482.9385,28231.023,-9.9129887,10.6658,1,1,.416441917419434,56.25,37.5,-25.6872000000003,1.1666666,1
AUS,Australia,1975,29.499998,15.162455,64.572739,16.791569,14.258449,14.711743,1.3357695,7003.8423,28258.066,-8.7659893,10.805,1,1,.416441917419434,56.25,37.5,-14.77760000000126,1.1666666,1
AUS,Australia,1976,29.799999,13.322884,62.870655,17.876638,13.501061,13.361888,2.588438,7486.6826,28700.295,-7.6189899,10.924601,1,1,.416441917419434,56.25,37.5,-3.868000000002212,1.1666666,1
AUS,Australia,1977,30.099998,12.30982,63.21912,17.456472,14.000312,14.630217,3.5951245,7775.6587,29399.002,-6.4719906,11.0442,1,1,.416441917419434,56.25,37.5,7.041599999996834,1.1666666,1
AUS,Australia,1978,30.399998,8.0049257,63.342007,17.832836,13.60664,14.57086,.89349067,8252.7344,29318.746,-5.3249912,11.1638,1,1,.416441917419434,56.25,50,17.95119999999952,1.1666666,1
AUS,Australia,1979,30.699999,9.1220064,60.451099,17.362087,14.288481,15.335192,4.0504189,9294.5156,30178.389,-4.1779919,11.2834,1,1,.416441917419434,56.25,50,28.8608,1.1666666,1
AUS,Australia,1980,31,10.135841,60.824608,17.214405,16.412111,15.886164,3.035656,10208.804,30717.777,-3.0309925,11.403,1,1,.416441917419434,56.25,50,39.7704,1.1666666,1
AUS,Australia,1981,31.299999,9.4876661,62.184898,17.809793,14.88711,16.71633,3.3399642,11853.669,31251.82,-1.8839931,11.4092,1,1,.416441917419434,62.5,50,30.731,1.1666666,1
