countryname,year,gini
Finland,1971,19.400005
Belgium,1971,22.866667
Sweden,1971,25.233332
Australia,1971,28.299997
United Kingdom,1971,29.299999
Norway,1971,29.52857
Denmark,1971,31
Ireland,1971,32.299995
Netherlands,1971,33.200001
Spain,1971,34.679996
Portugal,1971,35.599926
Israel,1971,36.071426
United States,1971,36.900002
Canada,1971,37.200001
Germany,1971,37.499992
France,1971,37.800003
Italy,1971,38.200005
Switzerland,1971,38.309998
Greece,1971,50.439995
Chile,1971,50.866669
Austria,1971,51.499992
Japan,1971,84.750015
Finland,1972,19.575005
Belgium,1972,23.033335
Sweden,1972,25
Australia,1972,28.599998
United Kingdom,1972,28.799999
Norway,1972,29.199999
Denmark,1972,30.700001
Ireland,1972,32.499996
Netherlands,1972,32.799999
Spain,1972,34.659996
Portugal,1972,35.699928
Canada,1972,36.050003
Israel,1972,36.099998
United States,1972,36.700001
Germany,1972,37.099991
France,1972,37.325005
Italy,1972,37.500004
Switzerland,1972,38.099998
Greece,1972,49.879997
Austria,1972,50.599991
Chile,1972,51.200001
Japan,1972,83.400009
Finland,1973,19.750004
Belgium,1973,23.200001
Sweden,1973,24.766666
United Kingdom,1973,28.799999
Norway,1973,28.871428
Australia,1973,28.899998
Denmark,1973,30.400002
Netherlands,1973,32.400002
Ireland,1973,32.699997
Spain,1973,34.639999
Canada,1973,34.900002
Portugal,1973,35.799931
United States,1973,36.099998
Israel,1973,36.128571
Germany,1973,36.699993
Italy,1973,36.800003
France,1973,36.850002
Switzerland,1973,37.889999
Greece,1973,49.319996
Austria,1973,49.699989
Chile,1973,51.533333
Japan,1973,82.050011
Finland,1974,19.925005
Belgium,1974,23.366667
Sweden,1974,24.533333
Norway,1974,28.542856
United Kingdom,1974,29
Australia,1974,29.199997
Denmark,1974,30.1
Netherlands,1974,32
Ireland,1974,32.899998
Canada,1974,34.5
Spain,1974,34.619999
United States,1974,35.5
Portugal,1974,35.899933
Italy,1974,36.100002
Israel,1974,36.157143
Germany,1974,36.299995
France,1974,36.375
Switzerland,1974,37.68
Greece,1974,48.759998
Austria,1974,48.799992
Chile,1974,51.866669
Japan,1974,80.700012
Finland,1975,20.100004
Belgium,1975,23.533335
Sweden,1975,24.299999
United Kingdom,1975,27.9
Norway,1975,28.214285
Australia,1975,29.499998
Denmark,1975,29.800001
Netherlands,1975,31.6
Ireland,1975,33.099998
