Region,ph_71_85,ph_86_96,ph_diff,sharecagr_71_85,sharecagr_86_96,sharecagr_diff
North East (England),93.03,90.62,-2.41,8.17,7.50,-0.67
Yorkshire and The Humber,94.31,93.80,-0.51,8.35,7.87,-0.48
East Midlands (England),97.08,95.51,-1.57,8.93,8.44,-0.49
East,96.24,101.50,5.26,9.24,8.81,-0.42
London,119.32,121.15,1.83,7.27,8.36,1.08
South East (England),105.67,106.89,1.22,7.74,8.65,0.91
South West (England),98.63,97.88,-0.75,9.12,7.76,-1.37
West Midlands (England),96.19,94.46,-1.74,7.88,8.73,0.84
North West (England),96.15,93.02,-3.13,7.86,7.91,0.05
Wales,91.67,88.92,-2.75,8.18,8.25,0.07
Scotland,95.60,97.78,2.18,8.38,8.06,-0.32
Northern Ireland,81.90,89.45,7.54,8.87,9.67,0.80
